feat_0,feat_1,feat_2,BIS
0.8104683011081111,0.7630582343081413,0.7291633007163539,50.0
0.8507431209185775,0.8458287964658338,0.768584348902435,50.0
0.8920600033590942,0.8345011354169105,0.7504321814560433,49.0
0.8815644378836834,0.8367918639043532,0.7736813647721827,48.0
0.8750194001187503,0.816615452808747,0.7372976784041632,48.0
0.8507843397665886,0.7974439767772252,0.7696355154110767,49.0
0.8615312295101183,0.8298688334396376,0.7385618430992805,49.0
0.8734332767979079,0.8279754784678839,0.754594965590507,50.0
0.006723690058220385,0.024801062128446683,0.6834979297414111,51.0
0.239606056917531,0.4502022735160196,0.8520824640971375,51.0
0.3326927356659947,0.5756882650836084,0.7989398658881357,51.0
0.7255913601049571,0.7396461287673288,0.7368404706144375,51.0
0.8003734440719144,0.7757079614759292,0.7403612684952504,51.0
0.8292247064496038,0.7795387426995304,0.742632884137414,49.0
0.8446175184958415,0.808242296385361,0.7323735491825631,49.0
0.8522911490411943,0.7973770195567105,0.732814585586018,50.0
0.8353758281192699,0.7855529551748126,0.7437609077260376,50.0
0.8205954182310624,0.77969656577566,0.7398430931322085,50.0
0.774950725603873,0.739454363902079,0.7146657345632591,50.0
0.7473071754295719,0.7492012377269326,0.7586618744318294,49.0
0.5584276882679828,0.6853822625933952,0.7874443840323441,47.0
0.4992051550009421,0.7168982939891868,0.7847070347550991,47.0
0.8434001550958922,0.7890757236147201,0.7288906383665046,47.0
0.851252779522851,0.8071509866811759,0.7324111220539576,47.0
0.8356861403425503,0.8056483094013958,0.7463367024245194,47.0
0.8066009518637343,0.7760628651054393,0.7383357000129686,47.0
0.8323722101705279,0.7855910346884141,0.7456151404403174,47.0
0.6844333086510909,0.764109557576317,0.7751830764242023,48.0
0.5986388182514718,0.70411429267849,0.78648018482925,48.0
0.8795379189606257,0.8403078475048344,0.7414118552831971,49.0
0.8497430917545982,0.7734587539050977,0.7439253398513962,49.0
0.7663166690968607,0.7497918432390667,0.7385062780692608,49.0
0.6443901778370187,0.7191922614839013,0.7718499518709027,50.0
0.8443460395426773,0.8463701888108592,0.7690260140822313,48.0
0.8055027944809637,0.7649191131902899,0.7327606063854551,49.0
0.6016295586530609,0.7128825906811964,0.7675286731972799,48.0
0.7228243467335849,0.7255001464906012,0.7328719740287718,48.0
0.6909411814511417,0.7378666127003286,0.7581724697142911,48.0
0.47209232643235566,0.672930773963631,0.7834118343644657,49.0
0.8523822253959981,0.7790946871609932,0.7420902505460016,48.0
0.830608847657354,0.7700873615126267,0.7471017671858781,48.0
0.7905173127903884,0.7634581190548473,0.7297356583610491,48.0
0.6972675823495199,0.7440001344988749,0.7766933712016724,48.0
0.8132138436074671,0.7839762341555492,0.7635781401971805,49.0
0.8007345143798794,0.755518706742146,0.743513213260666,50.0
0.8461057713812266,0.8180633879956885,0.7524026707680858,50.0
0.8923177859466884,0.8173555999328155,0.7458736243995202,46.0
0.7932226197099629,0.7555076563806327,0.7386027760705725,47.0
0.8669966384723443,0.7744519708584199,0.748645050302123,45.0
0.8313290082604308,0.7968600642102843,0.7405736342453091,47.0
0.8111414317625781,0.7540272193527735,0.7282875266487309,46.0
0.8826358957983189,0.8213845780425046,0.7284493883679597,45.0
0.7543313088473861,0.7778173299262932,0.7752416313418606,43.0
0.6868388958148535,0.7272812097508536,0.753772379516368,42.0
0.8353165706424405,0.7936982951347948,0.7344499935973872,43.0
0.8235865050558054,0.7740561094377632,0.7386427116263141,43.0
0.8266785731844679,0.7741280918006814,0.734975152270837,42.0
0.8220491632913618,0.7559915931600192,0.7293427037749869,42.0
0.8108562872620201,0.794454873061651,0.7421458155760212,43.0
0.8461318394724874,0.7779445718783715,0.7291936992104675,47.0
0.859654593076109,0.8041977773307369,0.7559718689715632,49.0
0.8112045270121786,0.758131783352773,0.7378497397360738,47.0
0.6234863439278415,0.7266022604977298,0.7673372263410008,47.0
0.8317638783970293,0.7801568409387092,0.749353270142318,47.0
0.8180731037287089,0.7735555335410123,0.7227553283887032,48.0
0.8226350883802992,0.792110459406195,0.7520620289140825,49.0
0.8262796104821881,0.7697638420363258,0.7434507184575774,47.0
0.8118848702267794,0.7981156914964882,0.7508396015483174,46.0
0.7612624741055377,0.7479733937664115,0.7273960563983123,45.0
0.8038283816304593,0.7855038808550101,0.7600259311787102,44.0
0.8424119943793043,0.8183942544605389,0.7483422327964472,42.0
0.8726971262096046,0.8022155182772139,0.7811326564628611,42.0
0.8944975633920849,0.8248877332160527,0.7560804752058512,41.0
0.8545873613015446,0.8061987165655635,0.736771865623024,41.0
0.8577754098183316,0.7988016698512892,0.73200949243376,41.0
0.6222746578931729,0.706411008663884,0.7874954312173464,43.0
0.8045362544218614,0.7932193757915145,0.7528894985787263,43.0
0.83682088594004,0.7754927973657733,0.7545401267819791,44.0
0.8250792836387913,0.8024122179617463,0.7331055576193498,46.0
0.7882908463350785,0.7565467192058781,0.7159101616582328,45.0
0.6274391893341468,0.7031323277742638,0.750223314953397,46.0
0.8879551280052824,0.8189798088682041,0.750112582340525,48.0
0.9072847825385599,0.830753111053661,0.7667717484001466,48.0
0.9029960146173818,0.8580080852898675,0.7690559120302495,47.0
0.9018493877620402,0.8580273703212344,0.7489626626146779,47.0
0.8873031950009028,0.8385963605493472,0.7492132253939754,47.0
0.9017301726396192,0.852456792501366,0.7580574388112749,45.0
0.7721206606988712,0.7751695073792115,0.7585465800722847,46.0
0.8715575003297135,0.8180321458389885,0.7636091814721662,44.0
0.886040192461902,0.8383122409764456,0.7613413002952117,44.0
1.0475454105964392,0.9656400496982842,0.7900719441089185,45.0
0.8862039786791734,0.8649102371960415,0.7528937711683821,45.0
0.9007171601602236,0.8388629659685467,0.7613104172081688,46.0
0.8755876504879958,0.8483199178234742,0.7615274103285941,46.0
0.9072360283857134,0.8355190807200308,0.7523663253637087,47.0
0.8624660818603749,0.8407562779105855,0.752807420958495,50.0
0.7965295150525593,0.8159619417439341,0.7524510361825429,51.0
0.8408327107636192,0.7944999298326878,0.7563581670967765,49.0
0.8835850274899756,0.8298632775673318,0.7674265522140573,47.0
0.8359259111361489,0.8064013742719531,0.7612145904360321,47.0
0.8458697987378688,0.8135731006269009,0.7750443575353017,47.0
0.8205390753229655,0.8082616865875121,0.7726728491387241,47.0
0.9307652289421042,0.8698567119876857,0.7617969491753166,47.0
0.879329068520879,0.8326021814656461,0.7566193520582207,45.0
0.8207438376646533,0.7714873739910812,0.7523895165429975,46.0
0.8339653282388759,0.8097478048520035,0.7527348842100547,48.0
